SIGNAL_NAME,Lat,Lng
DN RJN ADV STR,2106.0204,8102.6777
DN NEU SEC,2106.0889,8102.8486
DN AUTO SIGNAL 338,2106.4715,8103.4202
DN AUTO SIGNAL 340,2106.8483,8104.1907
DN AUTO SIGNAL 342,2107.4451,8104.849
DN PMS HOME,2107.9597,8105.4141
DN PMS STR,2108.6026,8106.1215
DN PMS ADV STR,2108.7362,8106.2695
DN AUTO SIGNAL 344,2109.3741,8106.9764
DN AUTO SIGNAL 346,2110.0619,8107.736
DN MUP HOME,2110.7362,8108.4781
DN L XING,2110.8174,8108.5734
DN MUP STR,2111.0428,8109.0439
DN MUP ADV STR,2111.0968,8109.1985
DN L XING,2111.163,8109.3873
DN AUTO SIGNAL 350,2111.3774,8109.9995
DN SA G:A352,2111.6663,8110.8152
DN L XING,2111.7031,8110.9198
DN AUTO SIGNAL 354,2111.9354,8111.5823
DN NEU SEC,2112.1065,8112.2341
DN RSM HOME,2112.1645,8112.4834
DN RSM STR,2112.3029,8113.1728
DN RSM ADV STR,2112.2172,8113.6567
DN A:MA358,2111.9696,8114.6904
DN SA G:MA360,2112.0939,8115.5082
DN L XING,2112.1168,8115.6055
DN SA G:MA362,2112.2675,8116.2554
DN L XING,2112.2934,8116.3677
DN DUG HOME,2112.2649,8116.849
DN DURG STR,2111.9122,8117.7834
DN DURG INT STR,2111.8188,8118.0502
DN DURG ADV STR,2111.7683,8118.1934
DN DLBS HOME,2111.762,8118.5281
DN DLBS STR,2111.8743,8119.0951
DN BQR HOME,2111.9865,8119.6547
DN BQR STR,2112.1116,8120.3198
DN BQR ADV STR,2112.2038,8120.7641
DN AUTO SIGNAL 374,2112.3346,8121.4372
DN AUTO SIGNAL 376,2112.478,8122.1678
DN BPHB PH,2112.4826,8122.5509
DN AUTO SIGNAL 378,2112.4555,8122.7866
DN SA G:A380,2112.3846,8123.39
DN L XING:440,2112.3664,8123.5439
DN AUTO SIGNAL 382,2112.3166,8123.9667
DN NEU SEC,2112.29,8124.208
DN BIA HOME,2112.2519,8124.539
DN BIA REP,2112.1758,8125.2749
DN BIA STR,2112.1954,8125.5639
DN BIA ADV STR,2112.2963,8125.789
DN DBEC HOME,2112.6427,8126.5612
DN DBEC STR,2112.9567,8127.2558
DN DBEC ADV STR,2113.0702,8127.4995
DN DCBIN HOME,2113.1112,8127.5892
DN DCBIN STR,2113.344,8128.1096
DN DCBIN ADV STR,2113.4132,8128.2666
DN AUTO SIGNAL 388,2113.6715,8128.841
DN ACBIN HOME,2113.9144,8129.3901
DN ACBIN STR,2114.1639,8129.9482
DN ACBIN ADV STR,2114.2216,8130.0742
DN KMI HOME,2114.342,8130.3408
DN L XING:430,2114.384,8130.437
DN KMI STR,2114.7279,8131.2094
DN KMI ADV STR,2114.8332,8131.4433
DN L XING:429,2114.9,8131.5922
DN AUTO SIGNAL 394,2115.0367,8132.2144
DN AUTO SIGNAL 396,2115.0303,8132.9919
DN NEU SEC,2115.0895,8133.4951
DN SZB HOME,2115.1234,8133.81
DN SZB STR,2115.2036,8134.5805
DN SZB ADV STR,2115.2432,8134.9482
DN AUTO SIGNAL 398,2115.2844,8135.5204
DN SA G:A400,2115.21,8135.9235
DN L XING:419,2115.1882,8136.0297
DN SRWN PH,2115.1363,8136.2789
DN AUTO SIGNAL 402,2115.0377,8136.6906
DN R HOME,2114.9362,8137.3167
DN R STR,2115.501,8137.7994
DN R ADV STR,2115.8051,8137.9541
DN GATE SIG,2116.2012,8138.1254
DN L XING:417,2116.2945,8138.1669
DN WRS PH,2116.667,8138.3368
DN URK INNR,2116.7508,8138.3815
DN URK HOME,2117.2269,8138.6308
DN L XING:415,2117.325,8138.6826
DN URK STR,2117.8874,8139.1279
DN L XING:414,2118.023,8139.2973
DN URK ADV STR,2118.1933,8139.5048
DN NEU SEC,2118.3959,8139.7519
DN IB-INR-DIST,2118.5781,8139.9809
DN IBH SIG,2118.9351,8140.4282
DN MDH DIST,2119.2864,8140.8632
DN MDH INNR DIST,2119.663,8141.2602
DN MDH HOME,2120.0045,8141.7851
DN MDH STR,2120.3831,8142.4829
DN MDH ADV STR,2120.471,8142.645
DN IB DIST,2121.6438,8143.6459
DN IB INNR DIST,2122.0216,8143.9561
DN IBH SIG,2122.5126,8144.2998
DN SLH DIST,2124.0561,8144.8173
DN L XING:406,2124.4549,8144.9497
DN SLH INR DIST,2124.5793,8144.9897
DN SLH HOME,2125.1638,8145.1801
DN L XING:405,2125.3481,8145.2402
DN SLH STR,2125.8962,8145.4199
DN SLH ADV STR,2126.1362,8145.498
DN GATE SIG,2126.7102,8145.8696
DN L XING:404,2126.7913,8145.9282
DN IBH SIG,2127.2183,8146.0786
DN GATE SIG,2127.6585,8146.1992
DN L XING:403,2127.7504,8146.2246
DN GATE INR DIST,2128.3779,8146.3984
DN GATE SIG,2128.897,8146.5405
DN L XING:401,2128.9947,8146.5673
DN BKTHW HOME,2129.1308,8146.604
DN BKTHW STR,2129.4855,8146.7011
DN BKTHE HOME,2130.2889,8146.9213
DN BKTHE STR,2130.8935,8147.0874
DN GATE INR DIST,2131.3179,8147.2039
DN GATE SIG,2131.8367,8147.3467
DN L XING:399,2131.9508,8147.3784
DN TLD HOME,2132.66,8147.5732
DN L XING:398,2132.7873,8147.6079
DN TLD STR,2133.2957,8147.7436
DN TLD ADV STR,2133.6186,8147.8383
DN GATE DIST,2133.8752,8147.9067
DN NEU SEC,2134.3334,8148.0302
DN GATE INR DIST,2134.4068,8148.0524
DN GATE SIG,2134.9661,8148.2065
DN L XING:395,2135.055,8148.2333
DN L XING:394,2135.5849,8148.4462
DN IBH SIG,2135.5949,8148.4565
DN GATE DIST,2136.1932,8149.0488
DN GATE INNR DIST,2136.6335,8149.4858
DN GATE SIG,2137.0222,8149.8715
DN L XING:392,2137.098,8149.9467
DN HN HOME,2137.5019,8150.3496
DN L XING:391,2137.7138,8150.561
DN HN REP,2137.8861,8150.7241
DN HN STR,2138.0605,8150.9018
DN HN INT STR,2138.4161,8151.2553
DN HN INT STR,2138.5677,8151.4062
DN L XING:390,2138.6225,8151.4614
DN HN ADV STR,2138.814,8151.6499
DN IB DIST,2139.9261,8152.7573
DN L XING:389,2140.0959,8152.9218
DN IB-INR-DIST,2140.346,8153.1708
DN IBH SIG,2140.75,8153.5717
DN GATE DIST,2141.6955,8154.5112
DN GATE INNR DIST,2141.9881,8154.8022
DN GATE SIG,2142.4045,8155.2172
DN L XING:386,2142.4698,8155.2822
DN BYT INNR DIST,2142.7982,8155.6093
DN BYT HOME,2143.2035,8156.0134
DN L XING:385,2143.2766,8156.0859
